curriculum_version,path_id,path_title,path_tagline,unit_sort_order,unit_id,unit_title,unit_description,unit_badge,phase_key,phase_title,is_review,is_phase_review,lesson_count,word_index,word_id,word_display_name,word_type,phrase_components
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,1,hello,Hello,word,
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,2,thankyou,Thank You,word,
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,3,bye,Bye,word,
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,4,please,Please,word,
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,5,sorry,Sorry,word,
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,6,welcome,Welcome,word,
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,7,congratulations,Congratulations,word,
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,8,oops,Oops,word,
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,9,very,Very,word,
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,10,much,Much,word,
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,11,thankyouverymuch,Thank You Very Much,phrase,thankyou;very;much
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,12,yourewelcome,You're Welcome,phrase,your;welcome
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,13,nice,Nice,word,
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,14,meet,Meet,word,
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,15,you,You,word,
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,16,how,How,word,
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,17,are,Are,word,
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,18,my,My,word,
6.0.0,path1,Learn ASL,Bite-sized units across every part of daily ASL.,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,19,name,Name,word,
